cluster_id,keyword_hit,advertiser_name,page_id,ad_archive_id,started_running,still_active,days_live,countries,surfaces,variant_count,hook_first_line,headline,destination_url,eu_reach,longest_single_creative_days,total_span_days,relaunch,country_count,aftenskole_flag,target_ages,target_gender,lp_h1,lp_page_type,price_visible
C4,somatic,Within The Ultimate Darkness Retreat,365508219990066,1232426285344506,2025-06-16,True,439,DK,instagram,2,Welcome to Within – The Ultimate Darkness Retreat 🌑. Discover a place where complete darkness and silence reveal the power within you. Are you ready for a life-changing journey?,instagram.com,instagram.com,22176,439,439,False,1,False,35-55,All,Instagram,application_form,$1
C4,dysregulated,Hope Affirm Thrive. Your Roadmap Through IVF,314188828439232,1912814682904991,2025-07-17,True,408,DK,facebook|instagram,1,When “it didn’t happen to me” still hurts: Vicarious trauma in the IVF community,instagram.com,instagram.com,1394,408,408,False,4,False,18-65,Women,Instagram,application_form,$1
C4,dysregulated,Hope Affirm Thrive. Your Roadmap Through IVF,314188828439232,1912814682904991,2025-07-17,True,408,DE,facebook|instagram,1,When “it didn’t happen to me” still hurts: Vicarious trauma in the IVF community,instagram.com,instagram.com,1394,408,408,False,4,False,18-65,Women,Instagram,application_form,$1
C4,dysregulated,Hope Affirm Thrive. Your Roadmap Through IVF,314188828439232,1912814682904991,2025-07-17,True,408,NL,facebook|instagram,1,When “it didn’t happen to me” still hurts: Vicarious trauma in the IVF community,instagram.com,instagram.com,1394,408,408,False,4,False,18-65,Women,Instagram,application_form,$1
C4,dysregulated,Hope Affirm Thrive. Your Roadmap Through IVF,314188828439232,1912814682904991,2025-07-17,True,408,AU,facebook|instagram,1,When “it didn’t happen to me” still hurts: Vicarious trauma in the IVF community,instagram.com,instagram.com,1394,408,408,False,4,False,18-65,Women,Instagram,application_form,$1
C8,stresshåndtering,CA Studiepartner og a-kasse,228362703852838,833426205821988,2025-10-17,True,316,DK,facebook|instagram|audience_network|messenger|threads,2,Hvor mange rigtige fik du? 🤝,,www.ca.dk,44102,316,316,False,1,False,18-65,All,Den helt rigtige a-kasse,application_form,0 kr
C8,stresshåndtering,CA Studiepartner og a-kasse,228362703852838,713340008445013,2025-10-22,True,311,DK,facebook|instagram|audience_network|messenger|threads,2,3 hurtige tips til din work life balance 📧💙,,www.ca.dk,1468,311,311,False,1,False,18-65,All,Den helt rigtige a-kasse,application_form,0 kr
C6,burnout recovery,PDF Guide Sanctuary ,826857527181106,855537806843848,2025-11-23,True,279,GB,facebook|instagram|messenger|threads,1,"Burnout doesn’t just drain your energy—it clouds your clarity, dulls your passion, and makes it hard to see a way forward. If you’ve given everything to your career and feel like you’ve lost yourself in the process, this guide offers both the grounding and direction you’ve been searching for. With practical recovery tools, reflective exercises, and a clear map to rebuild from exhaustion, it helps you reconnect with who you are beyond the burnout. You’ll walk away with renewed energy, a sense of clarity, and a plan to move into your next chapter with confidence.",Why You Might Find This Guide Helpful,pdfguidesanctuary.com,,279,279,False,3,False,18-65,All,The PDF Guide Sanctuary,direct_checkout,gated
C6,burnout recovery,PDF Guide Sanctuary ,826857527181106,855537806843848,2025-11-23,True,279,US,facebook|instagram|messenger|threads,1,"Burnout doesn’t just drain your energy—it clouds your clarity, dulls your passion, and makes it hard to see a way forward. If you’ve given everything to your career and feel like you’ve lost yourself in the process, this guide offers both the grounding and direction you’ve been searching for. With practical recovery tools, reflective exercises, and a clear map to rebuild from exhaustion, it helps you reconnect with who you are beyond the burnout. You’ll walk away with renewed energy, a sense of clarity, and a plan to move into your next chapter with confidence.",Why You Might Find This Guide Helpful,pdfguidesanctuary.com,,279,279,False,3,False,18-65,All,The PDF Guide Sanctuary,direct_checkout,gated
C6,burnout recovery,PDF Guide Sanctuary ,826857527181106,855537806843848,2025-11-23,True,279,AU,facebook|instagram|messenger|threads,1,"Burnout doesn’t just drain your energy—it clouds your clarity, dulls your passion, and makes it hard to see a way forward. If you’ve given everything to your career and feel like you’ve lost yourself in the process, this guide offers both the grounding and direction you’ve been searching for. With practical recovery tools, reflective exercises, and a clear map to rebuild from exhaustion, it helps you reconnect with who you are beyond the burnout. You’ll walk away with renewed energy, a sense of clarity, and a plan to move into your next chapter with confidence.",Why You Might Find This Guide Helpful,pdfguidesanctuary.com,,279,279,False,3,False,18-65,All,The PDF Guide Sanctuary,direct_checkout,gated
